"state","county","checklists","totalSpSeen","modeledTotal","speciesDifference"
"AL","lamar",69,134,285.373226828843,151.373226828843
"AL","lauderdale",2438,297,290.868642784543,0
"AL","lawrence",910,261,283.170467363115,22.1704673631152
"AL","lee",3841,261,259.50827852868,0
"AL","limestone",2268,281,281.451451086682,0.451451086682084
"AL","lowndes",442,186,279.425935905249,93.4259359052492
"AL","macon",1861,207,266.700475918685,59.7004759186855
"AL","madison",13514,263,273.641195033844,10.6411950338438
"AL","marengo",1702,181,290.855459332911,109.855459332911
"AL","marion",172,176,288.989947598076,112.989947598076
"AL","marshall",1438,254,265.345033025806,11.3450330258059
"AL","mobile",13105,369,358.542281573085,0
"AL","monroe",421,174,309.347424277063,135.347424277063
"AL","montgomery",4993,262,271.757592273912,9.75759227391222
"AL","morgan",2887,281,279.486549804493,0
"AL","perry",833,198,281.126419615481,83.1264196154809
"AL","pickens",136,149,288.163113249202,139.163113249202
"AL","pike",287,153,268.044841443935,115.044841443935
"AL","randolph",340,172,253.762905169222,81.7629051692218
"AL","russell",327,203,266.642437989944,63.6424379899439
"AL","st clair",748,194,261.224844265759,67.2248442657592
"AL","shelby",3766,254,276.967378287902,22.9673782879019
"AL","sumter",486,196,293.994836121469,97.9948361214689
"AL","talladega",660,178,265.258561719338,87.2585617193376
"AL","tallapoosa",533,177,266.451281528658,89.4512815286581
"AL","tuscaloosa",1722,222,280.522013190094,58.5220131900935
"AL","walker",239,152,282.835249540846,130.835249540846
"AL","washington",295,153,313.775550316766,160.775550316766
"AL","wilcox",197,182,287.631507795843,105.631507795843
"AL","winston",2654,186,288.072644265592,102.072644265592
"AZ","apache",6075,334,339.491463053526,5.49146305352565
"AZ","cochise",70846,451,437.24618693889,0
"AZ","coconino",41932,387,385.561567271446,0
"AZ","gila",5669,340,367.298166843185,27.298166843185
"AZ","graham",4158,343,442.598372040425,99.5983720404247
"AZ","greenlee",1251,258,362.254943237632,104.254943237632
"AZ","maricopa",80925,424,369.550477458768,0
"AZ","mohave",17837,389,377.232033255266,0
"AZ","navajo",5822,311,342.602205974022,31.6022059740225
"AZ","pima",145553,445,451.49302589396,6.49302589395967
"AZ","pinal",16529,399,399.134784816407,0.134784816407091
"AZ","santa cruz",57154,425,422.631067143283,0
"AZ","yavapai",32723,369,362.331294296169,0
"AZ","yuma",7189,329,367.64658557911,38.6465855791097
"AR","arkansas",999,283,312.568822936657,29.5688229366571
"AR","ashley",621,266,312.067083249976,46.067083249976
"AR","baxter",899,240,308.550065707925,68.5500657079252
"AR","benton",6782,317,311.361588010623,0
"AR","boone",827,232,302.727495324603,70.7274953246029
"AR","bradley",62,155,304.486308990555,149.486308990555
"AR","calhoun",71,184,305.579324496507,121.579324496507
"AR","carroll",658,218,304.881986720257,86.8819867202573
"AR","chicot",270,294,310.621090640376,16.6210906403763
"AR","clark",308,292,317.760302454949,25.7603024549491
"AR","clay",156,190,292.91936623219,102.91936623219
"AR","cleburne",633,240,314.96331912496,74.96331912496
"AR","cleveland",60,135,304.500779832262,169.500779832262
"AR","columbia",805,210,308.766813873381,98.7668138733813
"AR","conway",600,247,309.59903707923,62.5990370792298
"AR","craighead",1879,288,305.387832954461,17.3878329544611
"AR","crawford",659,284,316.26009263316,32.26009263316
"AR","crittenden",1446,299,312.513822252141,13.5138222521414
"AR","cross",213,198,304.411113906017,106.411113906017
"AR","dallas",110,143,309.578189034687,166.578189034687
"AR","desha",356,299,306.837563385946,7.8375633859464
"AR","drew",177,206,312.709417313232,106.709417313232
"AR","faulkner",2708,294,313.465260385676,19.4652603856759
"AR","franklin",839,231,324.401987392056,93.4019873920559
"AR","fulton",245,194,308.740918824382,114.740918824382
"AR","garland",1902,289,320.008826465082,31.0088264650819
"AR","grant",191,169,307.987761187234,138.987761187234
"AR","greene",439,239,293.52223990028,54.5222399002798
"AR","hempstead",470,310,311.09775588994,1.09775588993983
"AR","hot spring",340,232,312.066337312721,80.0663373127214
"AR","howard",145,257,311.254754391904,54.2547543919041
"AR","independence",125,168,306.153721597461,138.153721597461
"AR","izard",82,151,310.352467996122,159.352467996122
"AR","jackson",284,164,306.419834416038,142.419834416038
"AR","jefferson",5003,302,314.008028264215,12.0080282642151
"AR","johnson",1132,268,320.853293426462,52.8532934264617
"AR","lafayette",196,222,305.094120467015,83.094120467015
"AR","lawrence",95,184,303.856609179499,119.856609179499
"AR","lee",310,197,310.14907037396,113.14907037396
"AR","lincoln",57,155,305.575422188603,150.575422188603
"AR","little river",228,289,307.534988354603,18.5349883546033
"AR","logan",1089,269,328.080364505151,59.0803645051514
"AR","lonoke",1122,303,312.09938090676,9.09938090675996
"AR","madison",744,199,311.653276766822,112.653276766822
"AR","marion",687,210,308.470829609156,98.4708296091565
"AR","miller",419,263,314.550995462324,51.5509954623242
"AR","mississippi",585,260,313.654489079734,53.6544890797336
"AR","monroe",663,244,318.552411968582,74.552411968582
"AR","montgomery",1176,183,320.458941952893,137.458941952893
"AR","nevada",51,133,308.770859054522,175.770859054522
"AR","newton",1233,216,312.517698507519,96.5176985075187
"AR","ouachita",129,182,306.854744922357,124.854744922357
"AR","perry",585,209,313.603353484658,104.603353484658
"AR","phillips",336,236,310.108437092117,74.1084370921167
"AR","pike",120,181,315.889389467418,134.889389467418
"AR","poinsett",354,252,304.339527855318,52.3395278553178
"AR","polk",619,207,317.487748433377,110.487748433377
"AR","pope",2297,317,319.343659656374,2.34365965637426
"AR","prairie",637,284,306.453729890662,22.4537298906617
"AR","pulaski",13909,324,315.434316818666,0
"AR","randolph",69,140,302.672234266201,162.672234266201
"AR","st francis",209,197,312.798743600016,115.798743600016
"AR","saline",3196,238,315.571844713963,77.5718447139629
"AR","scott",3292,253,317.265710739996,64.2657107399962
"AR","searcy",213,157,305.283167920318,148.283167920318
"AR","sebastian",770,279,319.261451024221,40.2614510242212
"AR","sevier",194,213,308.682379064851,95.6823790648512
"AR","sharp",125,176,306.467295354555,130.467295354555
"AR","stone",775,172,301.833278744827,129.833278744827
"AR","union",278,285,312.905033717637,27.9050337176368
"AR","van buren",2996,221,308.345833060761,87.3458330607609
"AR","washington",6041,315,318.366822759231,3.36682275923084
"AR","white",1811,314,313.187315763714,0
"AR","woodruff",149,217,315.564722883139,98.5647228831392
"AR","yell",1808,296,318.843735052197,22.8437350521974
"CA","alameda",56031,401,398.061781930701,0
"CA","alpine",3073,263,258.845927986526,0
"CA","amador",6133,267,290.826300927125,23.8263009271246
"CA","butte",14449,309,302.186621171868,0
"CA","calaveras",4341,262,296.982232239661,34.9822322396609
"CA","colusa",5609,272,311.601952283115,39.601952283115
"CA","contra costa",42665,370,376.01946881492,6.01946881491972
"CA","del norte",7537,412,379.063407447586,0
"CA","el dorado",10548,308,297.709875281486,0
"CA","fresno",13356,330,343.351580302138,13.3515803021382
"CA","glenn",4505,275,300.9583706729,25.9583706729001
"CA","humboldt",58099,466,425.210826384462,0
"CA","imperial",19270,409,376.285223928626,0
"CA","inyo",23319,415,371.68228523276,0
"CA","kern",44051,425,406.620459382834,0
"CA","kings",4477,299,335.233287628762,36.2332876287616
"CA","lake",7703,307,305.136349952241,0
"CA","lassen",3527,299,317.444831812281,18.4448318122809
"CA","los angeles",181311,498,474.965406531593,0
"CA","madera",4873,296,309.278541726328,13.278541726328
"CA","marin",64070,488,409.483959583633,0
"CA","mariposa",19373,277,298.387356473954,21.3873564739538
"CA","mendocino",31923,407,403.802450584802,0
"CA","merced",6855,297,329.93065351422,32.9306535142198
"CA","modoc",2434,287,332.35583249951,45.3558324995104
"CA","mono",17673,365,329.333626884437,0
"CA","monterey",60241,490,445.524356395966,0
"CA","napa",8142,312,337.236796701205,25.2367967012055
"CA","nevada",9695,273,301.231965518934,28.231965518934
"CA","orange",74076,470,409.434882862853,0
"CA","placer",12553,314,303.622068296186,0
"CA","plumas",11208,315,298.274584467285,0
"CA","riverside",44391,452,442.936747641827,0
"CA","sacramento",62436,313,318.035766903718,5.03576690371762
"CA","san benito",10859,301,333.552058771016,32.5520587710157
"CA","san bernardino",37517,438,433.813540088762,0
"CA","san diego",130083,520,446.662281214457,0
"CA","san francisco",53455,457,420.290962386004,0
"CA","san joaquin",12131,349,329.653193235761,0
"CA","san luis obispo",38785,450,454.715912392929,4.71591239292894
"CA","san mateo",67024,438,411.654510420504,0
"CA","santa barbara",40690,500,462.761159578103,0
"CA","santa clara",58688,374,404.065335652333,30.0653356523326
"CA","santa cruz",83999,425,401.242281503548,0
"CA","shasta",11416,313,328.583773530954,15.5837735309535
"CA","sierra",5385,280,279.802493542438,0
"CA","siskiyou",10967,313,334.315514234018,21.3155142340182
"CA","solano",13002,337,357.454750973034,20.454750973034
"CA","sonoma",42697,424,421.70468512464,0
"CA","stanislaus",9806,304,326.820742996465,22.8207429964651
"CA","sutter",4330,265,307.960267026684,42.9602670266843
"CA","tehama",7076,285,319.323032672741,34.3230326727412
"CA","trinity",2275,260,327.157413852115,67.1574138521152
"CA","tulare",16465,332,345.819361231588,13.8193612315877
"CA","tuolumne",7981,254,288.309042035751,34.3090420357513
"CA","ventura",39720,470,458.391255460889,0
"CA","yolo",31939,352,314.44396780567,0
"CA","yuba",2781,262,290.819885636583,28.8198856365829
"CO","adams",14321,362,354.105331817994,0
"CO","alamosa",6164,276,304.253849271975,28.2538492719748
"CO","arapahoe",26578,355,348.380632984521,0
"CO","archuleta",2421,254,258.693874378544,4.69387437854391
"CO","baca",2466,335,338.705618379351,3.70561837935082
"CO","bent",2757,367,346.557313131203,0
"CO","boulder",55559,403,365.405503155353,0
"CO","chaffee",3062,281,295.490201915646,14.4902019156458
"CO","cheyenne",1394,232,342.446413294049,110.446413294049
"CO","clear creek",3632,200,300.972918157526,100.972918157526
"CO","conejos",667,232,289.733182065898,57.7331820658978
"CO","costilla",423,228,312.520408418162,84.5204084181622
"CO","crowley",936,310,344.493280216469,34.4932802164687
"CO","custer",1247,287,309.446727769902,22.446727769902
"CO","delta",3192,304,314.628502413831,10.6285024138306
"CO","denver",16167,307,335.46000145338,28.4600014533802
"CO","dolores",286,196,286.949147156349,90.9491471563493
"CO","douglas",27080,376,350.034397050218,0
"CO","eagle",3313,253,307.038438465499,54.0384384654994
"CO","elbert",3624,263,340.632079822067,77.6320798220673
"CO","el paso",27080,403,370.821554322503,0
"CO","fremont",5646,326,332.769201558655,6.76920155865491
"CO","garfield",3045,242,308.646872039585,66.6468720395847
"CO","gilpin",1123,174,294.063833432038,120.063833432038
"CO","grand",3660,246,315.537030120775,69.537030120775
"CO","gunnison",5129,254,274.268867832,20.2688678320003
"CO","hinsdale",839,184,261.621952130577,77.6219521305769
"CO","huerfano",1211,298,342.255076624439,44.2550766244393
"CO","jackson",3853,260,297.198665836438,37.1986658364379
"CO","jefferson",59494,373,340.782436991432,0
"CO","kiowa",1594,324,344.340841768547,20.3408417685473
"CO","kit carson",1519,289,339.961574532459,50.9615745324587
"CO","lake",703,213,273.640653420554,60.6406534205545
"CO","la plata",4381,303,256.844773707716,0
"CO","larimer",50786,409,363.513605547788,0
"CO","las animas",1318,290,362.558572454591,72.5585724545909
"CO","lincoln",2138,310,349.408771675183,39.4087716751827
"CO","logan",3199,338,338.388826831096,0.388826831095628
"CO","mesa",11329,330,315.849248984026,0
"CO","mineral",464,178,265.518532164799,87.518532164799
"CO","moffat",2874,274,336.113912593962,62.1139125939624
"CO","montezuma",2787,270,324.138869052857,54.1388690528568
"CO","montrose",3057,278,294.496747144817,16.4967471448167
"CO","morgan",3015,332,343.282077965602,11.2820779656022
"CO","otero",2238,335,348.149039834642,13.1490398346417
"CO","ouray",1394,236,259.378361578445,23.3783615784454
"CO","park",9004,281,303.510952481988,22.5109524819884
"CO","phillips",1684,253,330.241630297613,77.241630297613
"CO","pitkin",1466,195,282.38954743546,87.3895474354602
"CO","prowers",8844,352,337.621347379766,0
"CO","pueblo",8255,420,391.470563898105,0
"CO","rio blanco",696,229,319.459059660984,90.4590596609837
"CO","rio grande",1311,247,287.244155774046,40.2441557740456
"CO","routt",4093,274,300.198444850354,26.1984448503545
"CO","saguache",2039,237,309.435992736527,72.4359927365266
"CO","san juan",407,144,256.351968318487,112.351968318487
"CO","san miguel",1153,233,290.961547503423,57.9615475034225
"CO","sedgwick",980,312,323.70803896837,11.7080389683699
"CO","summit",5181,234,280.639546147288,46.6395461472878
"CO","teller",2906,226,302.943918100136,76.9439181001361
"CO","washington",2039,340,341.42003217318,1.42003217318029
"CO","weld",20906,382,359.281642138323,0
"CO","yuma",2677,335,337.082553708698,2.08255370869784
"CT","fairfield",72282,377,347.367938866069,0
"CT","hartford",71142,290,321.864435822776,31.8644358227757
"CT","litchfield",36690,292,302.616036597753,10.6160365977527
"CT","middlesex",15637,317,330.963921279145,13.9639212791447
"CT","new haven",60781,386,356.859213820317,0
"CT","new london",23198,347,338.839177129697,0
"CT","tolland",17217,275,293.631742071039,18.6317420710394
"CT","windham",9126,265,297.600964989581,32.6009649895808
"DE","kent",21855,354,334.971723168972,0
"DE","new castle",36154,337,329.802473624558,0
"DE","sussex",32251,378,380.43422130428,2.4342213042803
NA,"washington",NA,NA,296.039086879919,NA
"FL","alachua",47048,321,300.295803343622,0
"FL","baker",631,186,293.069414159574,107.069414159574
"FL","bay",6292,315,335.540311662989,20.5403116629889
"FL","bradford",536,202,289.643843249647,87.6438432496472
"FL","brevard",49936,390,343.154746828427,0
"FL","broward",25541,340,355.57761982858,15.5776198285796
"FL","calhoun",800,182,316.358536138179,134.358536138179
"FL","charlotte",17444,312,328.772947247664,16.7729472476643
"FL","citrus",5398,295,317.384737888241,22.3847378882413
"FL","clay",8662,240,278.482481653123,38.4824816531229
"FL","collier",48656,325,345.033658181435,20.0336581814352
"FL","columbia",1521,244,297.320215543033,53.3202155430326
"FL","miami-dade",51196,391,362.541354201923,0
"FL","de soto",1214,206,314.690310863803,108.690310863803
"FL","dixie",1149,267,337.515472446719,70.5154724467195
"FL","duval",30241,362,336.120799843133,0
"FL","escambia",6940,356,344.054834213589,0
"FL","flagler",4230,285,320.795267375609,35.7952673756091
"FL","franklin",6001,329,338.825977490446,9.82597749044641
"FL","gadsden",1562,214,294.292603759992,80.2926037599921
"FL","gilchrist",566,194,301.450371614662,107.450371614662
"FL","glades",2818,239,297.447791984,58.447791984
"FL","gulf",2079,285,341.188612874217,56.1886128742167
"FL","hamilton",588,233,293.93884173041,60.9388417304104
"FL","hardee",865,200,296.017701254775,96.0177012547745
"FL","hendry",4595,261,317.154533974101,56.1545339741013
"FL","hernando",13118,312,318.398241719578,6.3982417195777
"FL","highlands",5534,266,287.808063238662,21.8080632386622
"FL","hillsborough",23051,343,338.42495714828,0
"FL","holmes",518,179,305.745162548735,126.745162548735
"FL","indian river",12246,329,318.672561037529,0
"FL","jackson",1847,240,310.553813231791,70.553813231791
"FL","jefferson",3290,224,328.785281523075,104.785281523075
"FL","lafayette",382,214,306.642827795863,92.6428277958626
"FL","lake",15633,296,301.130221132585,5.13022113258455
"FL","lee",64732,322,336.413002245931,14.4130022459311
"FL","leon",27227,329,319.919776616345,0
"FL","levy",5295,304,334.187918554454,30.1879185544543
"FL","liberty",602,190,338.912230732697,148.912230732697
"FL","madison",932,207,303.432595563418,96.4325955634184
"FL","manatee",11742,301,317.514182657147,16.5141826571469
"FL","marion",7674,252,289.514603591133,37.5146035911328
"FL","martin",8222,298,328.337849758159,30.3378497581592
"FL","monroe",30163,376,351.756002771598,0
"FL","nassau",4394,284,319.02246121563,35.0224612156299
"FL","okaloosa",6526,349,343.903559594745,0
"FL","okaloosa",6526,349,330.011486114628,0
"FL","okeechobee",3636,253,296.806655670208,43.806655670208
"FL","orange",34232,325,297.812797661242,0
"FL","osceola",10155,269,290.640550204344,21.6405502043444
"FL","palm beach",44362,370,347.86505879799,0
"FL","pasco",22644,349,330.598864918196,0
"FL","pinellas",59375,394,338.126769564643,0
"FL","polk",22081,309,301.901630195833,0
"FL","putnam",1602,231,294.850552087753,63.8505520877526
"FL","st johns",17588,320,314.868997966758,0
"FL","st lucie",4816,285,327.354552247833,42.3545522478331
"FL","santa rosa",3855,332,356.055168582357,24.0551685823573
"FL","sarasota",30368,323,331.264839798023,8.26483979802327
"FL","seminole",18015,285,282.309317050728,0
"FL","sumter",2273,228,291.10552190927,63.1055219092699
"FL","suwannee",1211,202,284.832898896544,82.832898896544
"FL","taylor",1276,267,334.336001269183,67.3360012691826
"FL","union",453,187,297.844033980017,110.844033980017
"FL","volusia",17765,348,337.546546834476,0
"FL","wakulla",11303,336,329.744103490995,0
"FL","walton",2046,268,353.724400177057,85.724400177057
"FL","washington",1444,198,332.607311971546,134.607311971546
"GA","appling",386,163,265.739919934317,102.739919934317
"GA","atkinson",143,118,265.379045172425,147.379045172425
"GA","bacon",92,94,263.363602824214,169.363602824214
"GA","baker",736,216,266.265391552254,50.265391552254
"GA","baldwin",1161,180,264.625507587441,84.6255075874415
"GA","banks",256,150,249.163693636875,99.1636936368751
"GA","barrow",779,187,249.920338413295,62.9203384132949
"GA","bartow",6279,265,260.036633325576,0
"GA","ben hill",134,143,272.490078915393,129.490078915393
"GA","berrien",581,195,268.271301597595,73.2713015975947
"GA","bibb",10487,265,266.427230333012,1.42723033301189
"GA","bleckley",1330,160,269.56263048016,109.56263048016
"GA","brantley",395,131,285.972308537277,154.972308537277
"GA","brooks",852,180,293.951474289269,113.951474289269
"GA","bryan",787,241,313.753497142208,72.7534971422078
"GA","bulloch",2888,230,299.608257937907,69.6082579379068
"GA","burke",1246,235,271.373893389311,36.3738933893112
"GA","butts",2045,180,253.212721261926,73.2127212619255
"GA","calhoun",221,151,265.331552217084,114.331552217084
"GA","camden",3792,296,336.225078822133,40.2250788221332
"GA","candler",351,145,269.254189132704,124.254189132704
"GA","carroll",2089,206,248.564749547634,42.564749547634
"GA","catoosa",2481,198,266.832275055001,68.8322750550012
"GA","charlton",1355,214,297.992904288142,83.9929042881415
"GA","chatham",14668,346,333.714512916714,0
"GA","chattahoochee",308,178,269.709269927782,91.7092699277824
"GA","chattooga",418,149,265.636698929623,116.636698929623
"GA","cherokee",8319,229,247.023778116861,18.0237781168605
"GA","clarke",20078,258,254.15083154067,0
"GA","clay",491,193,266.587344629311,73.5873446293107
"GA","clayton",13590,264,257.047700574288,0
"GA","clinch",588,162,287.757163591257,125.757163591257
"GA","cobb",18747,259,251.111321506363,0
"GA","coffee",195,144,264.977598322452,120.977598322452
"GA","colquitt",195,157,280.458425870622,123.458425870622
"GA","columbia",3313,200,263.212161714504,63.2121617145039
"GA","cook",389,177,268.707631753911,91.7076317539115
"GA","coweta",4633,224,253.199606148292,29.1996061482917
"GA","crawford",139,117,263.308078453398,146.308078453398
"GA","crisp",550,173,275.79604769312,102.79604769312
"GA","dade",406,155,267.721971452642,112.721971452642
"GA","dawson",1677,208,252.430757595042,44.4307575950423
"GA","decatur",3220,239,300.455905963395,61.4559059633952
"GA","de kalb",20152,242,247.188584095548,5.1885840955479
"GA","dodge",223,148,272.996111473471,124.996111473471
"GA","dooly",350,171,272.618201184532,101.618201184532
"GA","dougherty",5269,250,261.761950001946,11.7619500019461
"GA","douglas",569,186,249.516112285559,63.5161122855593
"GA","early",526,190,284.471331166091,94.4713311660909
"GA","echols",140,128,289.423900564059,161.423900564059
"GA","effingham",417,170,297.427081477423,127.427081477423
"GA","elbert",399,180,252.762766975621,72.7627669756211
"GA","emanuel",491,173,273.146630033632,100.146630033632
"GA","evans",255,163,288.927938893681,125.927938893681
"GA","fannin",1124,187,261.021704532146,74.0217045321461
"GA","fayette",1523,199,257.28725947763,58.2872594776298
"GA","floyd",2459,252,262.955734280566,10.955734280566
"GA","forsyth",4619,258,247.87474509671,0
"GA","franklin",277,151,251.161654952203,100.161654952203
"GA","fulton",20058,248,250.199572733991,2.19957273399123
"GA","gilmer",1394,181,258.903020202498,77.9030202024975
"GA","glascock",135,119,263.512610835567,144.512610835567
"GA","glynn",18560,353,337.920801754168,0
"GA","gordon",2017,236,262.941101798129,26.9411017981288
"GA","grady",456,190,296.553345679003,106.553345679003
"GA","greene",1894,234,256.606582673848,22.6065826738478
"GA","gwinnett",14016,250,247.595352984336,0
"GA","habersham",514,168,255.326063256765,87.3260632567649
"GA","hall",6866,219,242.629903553425,23.629903553425
"GA","hancock",200,139,264.820146753129,125.820146753129
"GA","haralson",189,132,249.401606923486,117.401606923486
"GA","harris",1073,196,254.799017285687,58.7990172856866
"GA","hart",499,196,250.94579418687,54.9457941868704
"GA","heard",224,163,255.510220619947,92.5102206199474
"GA","henry",2438,231,254.826084779642,23.8260847796417
"GA","houston",1251,205,269.280138765593,64.2801387655932
"GA","irwin",129,133,273.511366096025,140.511366096025
"GA","jackson",1081,216,249.938329781537,33.9383297815367
"GA","jasper",906,204,253.288510948052,49.2885109480519
"GA","jeff davis",194,138,269.333597005162,131.333597005162
"GA","jefferson",701,172,270.268284248607,98.2682842486068
"GA","jenkins",198,161,267.03967053075,106.03967053075
"GA","johnson",247,127,269.093114555783,142.093114555783
"GA","jones",1252,202,262.868997837101,60.8689978371009
"GA","lamar",3039,169,258.576527819686,89.5765278196862
"GA","lanier",125,141,269.506869278793,128.506869278793
"GA","laurens",1299,220,277.669357360968,57.6693573609681
"GA","lee",1433,239,264.459124980487,25.4591249804871
"GA","liberty",2582,302,321.320766535918,19.3207665359178
"GA","lincoln",274,156,264.165548340124,108.165548340124
"GA","long",469,170,288.738716944228,118.738716944228
"GA","lowndes",2124,228,287.197701543811,59.1977015438109
"GA","lumpkin",532,178,253.603665380936,75.6036653809363
"GA","mcduffie",219,160,264.683660734597,104.683660734597
"GA","mcintosh",6535,327,338.510253624697,11.5102536246972
"GA","macon",874,202,268.606091243726,66.6060912437264
"GA","madison",647,176,251.048752457374,75.048752457374
"GA","marion",207,126,261.512946556174,135.512946556174
"GA","meriwether",589,192,254.515552220636,62.5155522206362
"GA","miller",903,196,283.613011275752,87.613011275752
"GA","mitchell",469,182,275.98551997157,93.9855199715697
"GA","monroe",1727,233,252.256478633031,19.2564786330312
"GA","montgomery",1211,122,270.288536830303,148.288536830303
"GA","morgan",2274,215,253.309774184519,38.3097741845188
"GA","murray",4180,256,259.105229131596,3.10522913159639
"GA","muscogee",5219,260,262.105534297108,2.10553429710848
"GA","newton",687,201,255.017822929203,54.0178229292032
"GA","oconee",9070,230,250.695124321,20.6951243210005
"GA","oglethorpe",2036,198,254.733965670995,56.7339656709948
"GA","paulding",631,147,248.484271386056,101.484271386056
"GA","peach",313,153,266.22807706465,113.22807706465
"GA","pickens",1546,180,253.204495928593,73.2044959285932
"GA","pierce",137,121,283.830110227316,162.830110227316
"GA","pike",226,148,256.363259237679,108.363259237679
"GA","polk",292,150,251.120554904176,101.120554904176
"GA","pulaski",111,136,271.649606801967,135.649606801967
"GA","putnam",676,207,262.298361225034,55.2983612250339
"GA","quitman",263,160,264.177830415383,104.177830415383
"GA","rabun",2766,204,254.461027868443,50.4610278684426
"GA","randolph",183,141,264.233424433166,123.233424433166
"GA","richmond",6023,265,263.177770319624,0
"GA","rockdale",1167,222,254.175649711717,32.1756497117166
"GA","schley",758,170,259.145125862094,89.1451258620938
"GA","screven",446,174,287.807301950363,113.807301950363
"GA","seminole",472,188,297.525535606174,109.525535606174
"GA","spalding",647,171,254.257988429489,83.2579884294885
"GA","stephens",243,156,243.907790499893,87.9077904998932
"GA","stewart",665,234,263.000936985448,29.0009369854478
"GA","sumter",917,197,267.116853280509,70.1168532805091
"GA","talbot",162,164,256.166364303231,92.1663643032313
"GA","taliaferro",166,132,257.650464803228,125.650464803228
"GA","tattnall",719,189,291.03291441124,102.03291441124
"GA","taylor",232,148,257.785634158647,109.785634158647
"GA","telfair",318,135,271.176287655553,136.176287655553
"GA","terrell",195,139,266.667980224272,127.667980224272
"GA","thomas",397,166,294.289006868408,128.289006868408
"GA","tift",1015,188,269.259515770125,81.2595157701255
"GA","toombs",414,134,269.342936503786,135.342936503786
"GA","towns",1302,189,251.918827493581,62.9188274935813
"GA","treutlen",137,116,269.317651485944,153.317651485944
"GA","troup",1509,236,258.713598000073,22.7135980000734
"GA","turner",1077,143,271.991012050973,128.991012050973
"GA","twiggs",423,180,269.466765393985,89.4667653939849
"GA","union",1465,187,253.785982986015,66.7859829860152
"GA","upson",507,179,254.963605105522,75.9636051055218
"GA","walker",851,207,264.597756800736,57.5977568007361
"GA","walton",1450,218,253.25058603084,35.2505860308399
"GA","ware",453,153,298.429989437805,145.429989437805
"GA","warren",163,130,263.274753786042,133.274753786042
"GA","washington",878,186,271.48236843,85.4823684300001
"GA","wayne",222,156,291.806862953919,135.806862953919
"GA","webster",95,122,262.805495421499,140.805495421499
"GA","wheeler",110,134,269.687934050189,135.687934050189
"GA","white",673,160,253.073990341144,93.0739903411439
"GA","whitfield",1591,196,265.615995815328,69.6159958153276
"GA","wilcox",158,126,273.728078582432,147.728078582432
"GA","wilkes",204,135,264.005116742959,129.005116742959
"GA","wilkinson",136,155,270.452659776659,115.452659776659
"GA","worth",418,150,262.594043710882,112.594043710882
"ID","ada",33128,333,312.841978762733,0
"ID","adams",2515,228,290.390409611616,62.3904096116159
"ID","bannock",1851,276,307.572330172711,31.5723301727108
"ID","bear lake",471,230,304.760531579695,74.7605315796952
"ID","benewah",1905,218,277.427928558003,59.4279285580026
"ID","bingham",724,259,313.950983140036,54.9509831400357
"ID","blaine",3422,295,300.204323237295,5.20432323729477
"ID","boise",2090,237,282.142187125237,45.1421871252368
"ID","bonner",2638,267,280.186969628802,13.1869696288016
"ID","bonneville",2426,262,292.935048178676,30.9350481786756
"ID","boundary",1630,232,285.466049276988,53.4660492769879
"ID","butte",678,215,294.135139712445,79.135139712445
"ID","camas",614,207,285.181275405868,78.1812754058684
"ID","canyon",9200,290,305.690064411847,15.6900644118467
